x,Sol_ap,Sol_exact
0.001712,49.4245,49.4207
0.00172,49.4187,49.4149
0.001728,49.4128,49.4091
0.001736,49.407,49.4033
0.001744,49.4012,49.3974
0.001752,49.3954,49.3916
0.00176,49.3895,49.3858
0.001768,49.3837,49.38
0.001776,49.3779,49.3742
0.001784,49.3721,49.3683
0.001792,49.3663,49.3625
0.0018,49.3605,49.3567
0.001808,49.3546,49.3509
0.001816,49.3488,49.3451
0.001824,49.343,49.3393
0.001832,49.3372,49.3335
0.00184,49.3314,49.3277
0.001848,49.3256,49.3219
0.001856,49.3198,49.3161
0.001864,49.314,49.3103
0.001872,49.3082,49.3044
0.00188,49.3024,49.2986
0.001888,49.2966,49.2928
0.001896,49.2908,49.287
0.001904,49.285,49.2813
0.001912,49.2792,49.2755
0.00192,49.2734,49.2697
0.001928,49.2676,49.2639
0.001936,49.2618,49.2581
0.001944,49.256,49.2523
0.001952,49.2502,49.2465
0.00196,49.2444,49.2407
0.001968,49.2386,49.2349
0.001976,49.2329,49.2291
0.001984,49.2271,49.2233
0.001992,49.2213,49.2176
0.002,49.2155,49.2118
0.002008,49.2097,49.206
0.002016,49.2039,49.2002
0.002024,49.1982,49.1944
0.002032,49.1924,49.1887
0.00204,49.1866,49.1829
0.002048,49.1808,49.1771
0.002056,49.1751,49.1713
0.002064,49.1693,49.1656
0.002072,49.1635,49.1598
0.00208,49.1577,49.154
0.002088,49.152,49.1483
0.002096,49.1462,49.1425
0.002104,49.1404,49.1367
0.002112,49.1347,49.131
0.00212,49.1289,49.1252
0.002128,49.1231,49.1194
0.002136,49.1174,49.1137
0.002144,49.1116,49.1079
0.002152,49.1059,49.1021
0.00216,49.1001,49.0964
0.002168,49.0943,49.0906
0.002176,49.0886,49.0849
0.002184,49.0828,49.0791
0.002192,49.0771,49.0734
0.0022,49.0713,49.0676
0.002208,49.0656,49.0619
0.002216,49.0598,49.0561
0.002224,49.0541,49.0504
0.002232,49.0483,49.0446
0.00224,49.0426,49.0389
0.002248,49.0368,49.0331
0.002256,49.0311,49.0274
0.002264,49.0253,49.0216
0.002272,49.0196,49.0159
0.00228,49.0139,49.0102
0.002288,49.0081,49.0044
0.002296,49.0024,48.9987
0.002304,48.9967,48.9929
0.002312,48.9909,48.9872
0.00232,48.9852,48.9815
0.002328,48.9794,48.9757
0.002336,48.9737,48.97
0.002344,48.968,48.9643
0.002352,48.9623,48.9586
0.00236,48.9565,48.9528
0.002368,48.9508,48.9471
0.002376,48.9451,48.9414
0.002384,48.9394,48.9357
0.002392,48.9336,48.9299
0.0024,48.9279,48.9242
