x,Sol30
0,50.3842
4e-06,50.3812
8e-06,50.3781
1.2e-05,50.3751
1.6e-05,50.372
2e-05,50.369
2.4e-05,50.3659
2.8e-05,50.3629
3.2e-05,50.3598
3.6e-05,50.3568
4e-05,50.3537
4.4e-05,50.3507
4.8e-05,50.3476
5.2e-05,50.3446
5.6e-05,50.3415
6e-05,50.3385
6.4e-05,50.3355
6.8e-05,50.3324
7.2e-05,50.3294
7.6e-05,50.3263
8e-05,50.3233
8.4e-05,50.3202
8.8e-05,50.3172
9.2e-05,50.3142
9.6e-05,50.3111
0.0001,50.3081
0.000104,50.305
0.000108,50.302
0.000112,50.299
0.000116,50.2959
0.00012,50.2929
0.000124,50.2898
0.000128,50.2868
0.000132,50.2838
0.000136,50.2807
0.00014,50.2777
0.000144,50.2747
0.000148,50.2716
0.000152,50.2686
0.000156,50.2656
0.00016,50.2625
0.000164,50.2595
0.000168,50.2565
0.000172,50.2534
0.000176,50.2504
0.00018,50.2474
0.000184,50.2443
0.000188,50.2413
0.000192,50.2383
0.000196,50.2352
0.0002,50.2322
0.000204,50.2292
0.000208,50.2261
0.000212,50.2231
0.000216,50.2201
0.00022,50.2171
0.000224,50.214
0.000228,50.211
0.000232,50.208
0.000236,50.2049
0.00024,50.2019
0.000244,50.1989
0.000248,50.1959
0.000252,50.1928
0.000256,50.1898
0.00026,50.1868
0.000264,50.1838
0.000268,50.1807
0.000272,50.1777
0.000276,50.1747
0.00028,50.1717
0.000284,50.1687
0.000288,50.1656
0.000292,50.1626
0.000296,50.1596
0.0003,50.1566
0.000304,50.1536
0.000308,50.1505
0.000312,50.1475
0.000316,50.1445
0.00032,50.1415
0.000324,50.1385
0.000328,50.1354
0.000332,50.1324
0.000336,50.1294
0.00034,50.1264
0.000344,50.1234
0.000348,50.1204
0.000352,50.1174
0.000356,50.1143
0.00036,50.1113
0.000364,50.1083
0.000368,50.1053
0.000372,50.1023
0.000376,50.0993
0.00038,50.0963
0.000384,50.0932
0.000388,50.0902
0.000392,50.0872
0.000396,50.0842
0.0004,50.0812
0.000404,50.0782
0.000408,50.0752
0.000412,50.0722
0.000416,50.0692
0.00042,50.0662
0.000424,50.0632
0.000428,50.0601
0.000432,50.0571
0.000436,50.0541
0.00044,50.0511
0.000444,50.0481
0.000448,50.0451
0.000452,50.0421
0.000456,50.0391
0.00046,50.0361
0.000464,50.0331
0.000468,50.0301
0.000472,50.0271
0.000476,50.0241
0.00048,50.0211
0.000484,50.0181
0.000488,50.0151
0.000492,50.0121
0.000496,50.0091
0.0005,50.0061
0.000504,50.0031
0.000508,50.0001
0.000512,49.9971
0.000516,49.9941
0.00052,49.9911
0.000524,49.9881
0.000528,49.9851
0.000532,49.9821
0.000536,49.9791
0.00054,49.9761
0.000544,49.9731
0.000548,49.9701
0.000552,49.9671
0.000556,49.9641
0.00056,49.9611
0.000564,49.9581
0.000568,49.9551
0.000572,49.9522
0.000576,49.9492
0.00058,49.9462
0.000584,49.9432
0.000588,49.9402
0.000592,49.9372
0.000596,49.9342
0.0006,49.9312
0.000604,49.9282
0.000608,49.9252
0.000612,49.9222
0.000616,49.9193
0.00062,49.9163
0.000624,49.9133
0.000628,49.9103
0.000632,49.9073
0.000636,49.9043
0.00064,49.9013
0.000644,49.8984
0.000648,49.8954
0.000652,49.8924
0.000656,49.8894
0.00066,49.8864
0.000664,49.8834
0.000668,49.8804
0.000672,49.8775
0.000676,49.8745
0.00068,49.8715
0.000684,49.8685
0.000688,49.8655
0.000692,49.8626
0.000696,49.8596
0.0007,49.8566
0.000704,49.8536
0.000708,49.8506
0.000712,49.8477
0.000716,49.8447
0.00072,49.8417
0.000724,49.8387
0.000728,49.8357
0.000732,49.8328
0.000736,49.8298
0.00074,49.8268
0.000744,49.8238
0.000748,49.8209
0.000752,49.8179
0.000756,49.8149
0.00076,49.8119
0.000764,49.809
0.000768,49.806
0.000772,49.803
0.000776,49.8001
0.00078,49.7971
0.000784,49.7941
0.000788,49.7911
0.000792,49.7882
0.000796,49.7852
0.0008,49.7822
0.000804,49.7793
0.000808,49.7763
0.000812,49.7733
0.000816,49.7704
0.00082,49.7674
0.000824,49.7644
0.000828,49.7614
0.000832,49.7585
0.000836,49.7555
0.00084,49.7525
0.000844,49.7496
0.000848,49.7466
0.000852,49.7437
0.000856,49.7407
0.00086,49.7377
0.000864,49.7348
0.000868,49.7318
0.000872,49.7288
0.000876,49.7259
0.00088,49.7229
0.000884,49.7199
0.000888,49.717
0.000892,49.714
0.000896,49.7111
0.0009,49.7081
0.000904,49.7051
0.000908,49.7022
0.000912,49.6992
0.000916,49.6963
0.00092,49.6933
0.000924,49.6904
0.000928,49.6874
0.000932,49.6844
0.000936,49.6815
0.00094,49.6785
0.000944,49.6756
0.000948,49.6726
0.000952,49.6697
0.000956,49.6667
