x,SolX0,SolXM_2,SolXM
223.5,32.823,32.7954,32.7717
224,32.5521,32.5291,32.5101
224.5,32.2876,32.2684,32.2532
225,32.0292,32.0131,32.001
225.5,31.7766,31.7631,31.7535
226,31.5298,31.5184,31.5108
226.5,31.2884,31.2787,31.2729
227,31.0523,31.044,31.0396
227.5,30.8213,30.8142,30.8109
228,30.5953,30.5892,30.5868
228.5,30.3742,30.3689,30.3673
229,30.1579,30.1532,30.1521
229.5,29.9461,29.9419,29.9414
230,29.7388,29.7351,29.735
230.5,29.5359,29.5326,29.5328
231,29.3373,29.3342,29.3347
231.5,29.1429,29.14,29.1408
232,28.9525,28.9499,28.9508
232.5,28.7662,28.7637,28.7647
233,28.5837,28.5814,28.5826
233.5,28.4051,28.4029,28.4041
234,28.2302,28.2281,28.2294
234.5,28.059,28.0569,28.0583
235,27.8913,27.8894,27.8908
235.5,27.7271,27.7253,27.7267
236,27.5664,27.5646,27.5661
236.5,27.409,27.4072,27.4087
237,27.2549,27.2532,27.2547
237.5,27.1041,27.1023,27.1039
238,26.9563,26.9546,26.9562
238.5,26.8117,26.81,26.8115
239,26.67,26.6683,26.6699
239.5,26.5313,26.5297,26.5312
240,26.3955,26.3939,26.3954
240.5,30.5511,26.3835,26.2695
241,32.5199,26.527,26.1671
241.5,33.9341,26.7875,26.1025
242,35.0676,27.1198,26.0851
242.5,36.0241,27.4908,26.1184
243,36.8563,27.8799,26.2008
243.5,37.5953,28.2755,26.3279
244,38.2614,28.6708,26.4937
244.5,38.8692,29.0623,26.6917
245,39.429,29.448,26.9159
245.5,39.9489,29.8271,27.161
246,40.4353,30.199,27.4223
246.5,40.8932,30.5636,27.6957
247,41.3266,30.9208,27.9779
247.5,41.7387,31.2707,28.2663
248,42.1323,31.6134,28.5584
248.5,42.5096,31.9489,28.8526
249,42.8723,32.2776,29.1472
249.5,43.222,32.5993,29.4412
250,43.56,32.9144,29.7335
250.5,43.8872,33.223,30.0233
251,44.2047,33.5251,30.3101
251.5,44.5131,33.8209,30.5934
252,44.8131,34.1105,30.8728
252.5,45.1052,34.3942,31.148
253,45.3898,34.6719,31.4188
253.5,45.6674,34.9438,31.6851
254,45.9384,35.2101,31.9468
254.5,46.2029,35.4708,32.2037
255,46.4613,35.7261,32.4559
255.5,46.7139,35.9761,32.7034
256,46.9608,36.2209,32.9461
256.5,47.2022,36.4606,33.1841
257,47.4383,36.6953,33.4174
257.5,47.6692,36.9251,33.6461
258,47.8952,37.1501,33.8702
258.5,48.1163,37.3704,34.0897
259,48.3327,37.5862,34.3049
259.5,48.5445,37.7974,34.5156
260,48.7518,38.0043,34.7221
260.5,48.9547,38.2068,34.9243
261,49.1533,38.4052,35.1223
261.5,49.3478,38.5994,35.3163
262,49.5381,38.7895,35.5063
262.5,49.7245,38.9757,35.6923
263,49.907,39.158,35.8745
263.5,50.0856,39.3365,36.053
264,50.2605,39.5113,36.2277
264.5,50.4317,39.6825,36.3988
265,50.5994,39.8501,36.5663
265.5,50.7636,40.0142,36.7304
266,50.9243,40.1749,36.8911
266.5,51.0817,40.3323,37.0484
267,51.2358,40.4863,37.2025
267.5,51.3867,40.6372,37.3533
268,51.5344,40.7849,37.501
268.5,51.6791,40.9295,37.6457
269,51.8208,41.0712,37.7873
269.5,51.9595,41.2099,37.926
270,52.0953,41.3457,38.0618
270.5,47.9397,41.3561,38.1877
271,45.9709,41.2125,38.2901
271.5,44.5567,40.9521,38.3548
272,43.4232,40.6198,38.3722
272.5,42.4667,40.2488,38.3389
273,41.6345,39.8596,38.2564
273.5,40.8956,39.4641,38.1293
274,40.2294,39.0688,37.9636
274.5,39.6217,38.6773,37.7656
275,39.0619,38.2916,37.5414
275.5,38.5419,37.9125,37.2963
276,38.0555,37.5406,37.035
276.5,37.5977,37.176,36.7616
277,37.1643,36.8188,36.4794
277.5,36.7522,36.4689,36.191
278,36.3586,36.1263,35.8989
278.5,35.9813,35.7907,35.6047
279,35.6186,35.4621,35.3101
279.5,35.2689,35.1403,35.0161
280,34.9309,34.8252,34.7238
280.5,34.6037,34.5167,34.434
281,34.2862,34.2146,34.1472
281.5,33.9778,33.9188,33.8639
282,33.6778,33.6291,33.5846
282.5,33.3858,33.3455,33.3093
283,33.1011,33.0678,33.0385
