x,Sol150
0,58.4303
4e-06,58.4272
8e-06,58.4242
1.2e-05,58.4211
1.6e-05,58.4181
2e-05,58.415
2.4e-05,58.412
2.8e-05,58.4089
3.2e-05,58.4059
3.6e-05,58.4028
4e-05,58.3998
4.4e-05,58.3967
4.8e-05,58.3937
5.2e-05,58.3907
5.6e-05,58.3876
6e-05,58.3846
6.4e-05,58.3815
6.8e-05,58.3785
7.2e-05,58.3754
7.6e-05,58.3724
8e-05,58.3693
8.4e-05,58.3663
8.8e-05,58.3633
9.2e-05,58.3602
9.6e-05,58.3572
0.0001,58.3541
0.000104,58.3511
0.000108,58.3481
0.000112,58.345
0.000116,58.342
0.00012,58.3389
0.000124,58.3359
0.000128,58.3329
0.000132,58.3298
0.000136,58.3268
0.00014,58.3238
0.000144,58.3207
0.000148,58.3177
0.000152,58.3147
0.000156,58.3116
0.00016,58.3086
0.000164,58.3056
0.000168,58.3025
0.000172,58.2995
0.000176,58.2965
0.00018,58.2934
0.000184,58.2904
0.000188,58.2874
0.000192,58.2843
0.000196,58.2813
0.0002,58.2783
0.000204,58.2752
0.000208,58.2722
0.000212,58.2692
0.000216,58.2661
0.00022,58.2631
0.000224,58.2601
0.000228,58.2571
0.000232,58.254
0.000236,58.251
0.00024,58.248
0.000244,58.245
0.000248,58.2419
0.000252,58.2389
0.000256,58.2359
0.00026,58.2329
0.000264,58.2298
0.000268,58.2268
0.000272,58.2238
0.000276,58.2208
0.00028,58.2177
0.000284,58.2147
0.000288,58.2117
0.000292,58.2087
0.000296,58.2057
0.0003,58.2026
0.000304,58.1996
0.000308,58.1966
0.000312,58.1936
0.000316,58.1906
0.00032,58.1875
0.000324,58.1845
0.000328,58.1815
0.000332,58.1785
0.000336,58.1755
0.00034,58.1725
0.000344,58.1694
0.000348,58.1664
0.000352,58.1634
0.000356,58.1604
0.00036,58.1574
0.000364,58.1544
0.000368,58.1514
0.000372,58.1483
0.000376,58.1453
0.00038,58.1423
0.000384,58.1393
0.000388,58.1363
0.000392,58.1333
0.000396,58.1303
0.0004,58.1273
0.000404,58.1242
0.000408,58.1212
0.000412,58.1182
0.000416,58.1152
0.00042,58.1122
0.000424,58.1092
0.000428,58.1062
0.000432,58.1032
0.000436,58.1002
0.00044,58.0972
0.000444,58.0942
0.000448,58.0912
0.000452,58.0882
0.000456,58.0852
0.00046,58.0822
0.000464,58.0791
0.000468,58.0761
0.000472,58.0731
0.000476,58.0701
0.00048,58.0671
0.000484,58.0641
0.000488,58.0611
0.000492,58.0581
0.000496,58.0551
0.0005,58.0521
0.000504,58.0491
0.000508,58.0461
0.000512,58.0431
0.000516,58.0401
0.00052,58.0371
0.000524,58.0341
0.000528,58.0311
0.000532,58.0281
0.000536,58.0251
0.00054,58.0222
0.000544,58.0192
0.000548,58.0162
0.000552,58.0132
0.000556,58.0102
0.00056,58.0072
0.000564,58.0042
0.000568,58.0012
0.000572,57.9982
0.000576,57.9952
0.00058,57.9922
0.000584,57.9892
0.000588,57.9862
0.000592,57.9832
0.000596,57.9802
0.0006,57.9773
0.000604,57.9743
0.000608,57.9713
0.000612,57.9683
0.000616,57.9653
0.00062,57.9623
0.000624,57.9593
0.000628,57.9563
0.000632,57.9534
0.000636,57.9504
0.00064,57.9474
0.000644,57.9444
0.000648,57.9414
0.000652,57.9384
0.000656,57.9354
0.00066,57.9325
0.000664,57.9295
0.000668,57.9265
0.000672,57.9235
0.000676,57.9205
0.00068,57.9175
0.000684,57.9146
0.000688,57.9116
0.000692,57.9086
0.000696,57.9056
0.0007,57.9026
0.000704,57.8997
0.000708,57.8967
0.000712,57.8937
0.000716,57.8907
0.00072,57.8877
0.000724,57.8848
0.000728,57.8818
0.000732,57.8788
0.000736,57.8758
0.00074,57.8729
0.000744,57.8699
0.000748,57.8669
0.000752,57.8639
0.000756,57.861
0.00076,57.858
0.000764,57.855
0.000768,57.852
0.000772,57.8491
0.000776,57.8461
0.00078,57.8431
0.000784,57.8401
0.000788,57.8372
0.000792,57.8342
0.000796,57.8312
0.0008,57.8283
0.000804,57.8253
0.000808,57.8223
0.000812,57.8194
0.000816,57.8164
0.00082,57.8134
0.000824,57.8104
0.000828,57.8075
0.000832,57.8045
0.000836,57.8015
0.00084,57.7986
0.000844,57.7956
0.000848,57.7927
0.000852,57.7897
0.000856,57.7867
0.00086,57.7838
0.000864,57.7808
0.000868,57.7778
0.000872,57.7749
0.000876,57.7719
0.00088,57.7689
0.000884,57.766
0.000888,57.763
0.000892,57.7601
0.000896,57.7571
0.0009,57.7541
0.000904,57.7512
0.000908,57.7482
0.000912,57.7453
0.000916,57.7423
0.00092,57.7393
0.000924,57.7364
0.000928,57.7334
0.000932,57.7305
0.000936,57.7275
0.00094,57.7246
0.000944,57.7216
0.000948,57.7186
0.000952,57.7157
0.000956,57.7127
0.00096,57.7098
0.000964,57.7068
0.000968,57.7039
0.000972,57.7009
0.000976,57.698
0.00098,57.695
0.000984,57.6921
0.000988,57.6891
0.000992,57.6862
0.000996,57.6832
0.001,57.6803
0.001004,57.6773
0.001008,57.6744
0.001012,57.6714
0.001016,57.6685
0.00102,57.6655
0.001024,57.6626
0.001028,57.6596
0.001032,57.6567
0.001036,57.6537
0.00104,57.6508
0.001044,57.6478
0.001048,57.6449
0.001052,57.6419
0.001056,57.639
0.00106,57.6361
0.001064,57.6331
0.001068,57.6302
0.001072,57.6272
0.001076,57.6243
0.00108,57.6213
0.001084,57.6184
0.001088,57.6155
0.001092,57.6125
0.001096,57.6096
0.0011,57.6066
0.001104,57.6037
0.001108,57.6008
0.001112,57.5978
0.001116,57.5949
0.00112,57.5919
0.001124,57.589
0.001128,57.5861
0.001132,57.5831
0.001136,57.5802
0.00114,57.5773
0.001144,57.5743
0.001148,57.5714
0.001152,57.5684
0.001156,57.5655
0.00116,57.5626
0.001164,57.5596
0.001168,57.5567
0.001172,57.5538
0.001176,57.5508
0.00118,57.5479
0.001184,57.545
0.001188,57.542
0.001192,57.5391
0.001196,57.5362
0.0012,57.5333
0.001204,57.5303
0.001208,57.5274
0.001212,57.5245
0.001216,57.5215
0.00122,57.5186
0.001224,57.5157
0.001228,57.5128
0.001232,57.5098
0.001236,57.5069
0.00124,57.504
0.001244,57.501
0.001248,57.4981
0.001252,57.4952
0.001256,57.4923
0.00126,57.4893
0.001264,57.4864
0.001268,57.4835
0.001272,57.4806
0.001276,57.4777
0.00128,57.4747
0.001284,57.4718
0.001288,57.4689
0.001292,57.466
0.001296,57.463
0.0013,57.4601
0.001304,57.4572
0.001308,57.4543
0.001312,57.4514
0.001316,57.4484
0.00132,57.4455
0.001324,57.4426
0.001328,57.4397
0.001332,57.4368
0.001336,57.4339
0.00134,57.4309
0.001344,57.428
0.001348,57.4251
0.001352,57.4222
0.001356,57.4193
0.00136,57.4164
0.001364,57.4135
0.001368,57.4105
0.001372,57.4076
0.001376,57.4047
0.00138,57.4018
0.001384,57.3989
0.001388,57.396
0.001392,57.3931
0.001396,57.3902
0.0014,57.3872
0.001404,57.3843
0.001408,57.3814
0.001412,57.3785
0.001416,57.3756
0.00142,57.3727
0.001424,57.3698
0.001428,57.3669
0.001432,57.364
0.001436,57.3611
0.00144,57.3582
0.001444,57.3552
0.001448,57.3523
0.001452,57.3494
0.001456,57.3465
0.00146,57.3436
0.001464,57.3407
0.001468,57.3378
0.001472,57.3349
0.001476,57.332
0.00148,57.3291
0.001484,57.3262
0.001488,57.3233
0.001492,57.3204
0.001496,57.3175
0.0015,57.3146
0.001504,57.3117
0.001508,57.3088
0.001512,57.3059
0.001516,57.303
0.00152,57.3001
0.001524,57.2972
0.001528,57.2943
0.001532,57.2914
0.001536,57.2885
0.00154,57.2856
0.001544,57.2827
0.001548,57.2798
0.001552,57.2769
0.001556,57.274
0.00156,57.2711
0.001564,57.2682
0.001568,57.2654
0.001572,57.2625
0.001576,57.2596
0.00158,57.2567
0.001584,57.2538
0.001588,57.2509
0.001592,57.248
0.001596,57.2451
0.0016,57.2422
0.001604,57.2393
0.001608,57.2364
0.001612,57.2335
0.001616,57.2307
0.00162,57.2278
0.001624,57.2249
0.001628,57.222
0.001632,57.2191
0.001636,57.2162
0.00164,57.2133
0.001644,57.2104
0.001648,57.2076
0.001652,57.2047
0.001656,57.2018
0.00166,57.1989
0.001664,57.196
0.001668,57.1931
0.001672,57.1902
0.001676,57.1874
0.00168,57.1845
0.001684,57.1816
0.001688,57.1787
0.001692,57.1758
0.001696,57.1729
0.0017,57.1701
0.001704,57.1672
0.001708,57.1643
0.001712,57.1614
0.001716,57.1585
0.00172,57.1557
0.001724,57.1528
0.001728,57.1499
0.001732,57.147
0.001736,57.1442
0.00174,57.1413
0.001744,57.1384
0.001748,57.1355
0.001752,57.1326
0.001756,57.1298
0.00176,57.1269
0.001764,57.124
0.001768,57.1211
0.001772,57.1183
0.001776,57.1154
0.00178,57.1125
0.001784,57.1097
0.001788,57.1068
0.001792,57.1039
0.001796,57.101
0.0018,57.0982
0.001804,57.0953
0.001808,57.0924
0.001812,57.0896
0.001816,57.0867
0.00182,57.0838
0.001824,57.0809
0.001828,57.0781
0.001832,57.0752
0.001836,57.0723
0.00184,57.0695
0.001844,57.0666
0.001848,57.0637
0.001852,57.0609
0.001856,57.058
0.00186,57.0551
0.001864,57.0523
0.001868,57.0494
0.001872,57.0465
0.001876,57.0437
0.00188,57.0408
0.001884,57.038
0.001888,57.0351
0.001892,57.0322
0.001896,57.0294
0.0019,57.0265
0.001904,57.0236
0.001908,57.0208
0.001912,57.0179
0.001916,57.0151
0.00192,57.0122
0.001924,57.0093
0.001928,57.0065
0.001932,57.0036
0.001936,57.0008
0.00194,56.9979
0.001944,56.9951
0.001948,56.9922
0.001952,56.9893
0.001956,56.9865
0.00196,56.9836
0.001964,56.9808
0.001968,56.9779
0.001972,56.9751
0.001976,56.9722
0.00198,56.9694
0.001984,56.9665
0.001988,56.9637
0.001992,56.9608
0.001996,56.9579
0.002,56.9551
0.002004,56.9522
0.002008,56.9494
0.002012,56.9465
0.002016,56.9437
0.00202,56.9408
0.002024,56.938
0.002028,56.9351
0.002032,56.9323
0.002036,56.9294
0.00204,56.9266
0.002044,56.9238
0.002048,56.9209
0.002052,56.9181
0.002056,56.9152
0.00206,56.9124
0.002064,56.9095
0.002068,56.9067
0.002072,56.9038
0.002076,56.901
0.00208,56.8981
0.002084,56.8953
0.002088,56.8925
0.002092,56.8896
0.002096,56.8868
0.0021,56.8839
0.002104,56.8811
0.002108,56.8782
0.002112,56.8754
0.002116,56.8726
0.00212,56.8697
0.002124,56.8669
0.002128,56.864
0.002132,56.8612
0.002136,56.8584
0.00214,56.8555
0.002144,56.8527
0.002148,56.8499
0.002152,56.847
0.002156,56.8442
0.00216,56.8413
0.002164,56.8385
0.002168,56.8357
0.002172,56.8328
0.002176,56.83
0.00218,56.8272
0.002184,56.8243
0.002188,56.8215
0.002192,56.8187
0.002196,56.8158
0.0022,56.813
0.002204,56.8102
0.002208,56.8073
0.002212,56.8045
0.002216,56.8017
0.00222,56.7988
0.002224,56.796
0.002228,56.7932
0.002232,56.7904
0.002236,56.7875
0.00224,56.7847
0.002244,56.7819
0.002248,56.779
0.002252,56.7762
0.002256,56.7734
0.00226,56.7706
0.002264,56.7677
0.002268,56.7649
0.002272,56.7621
0.002276,56.7593
0.00228,56.7564
0.002284,56.7536
0.002288,56.7508
0.002292,56.748
0.002296,56.7451
0.0023,56.7423
0.002304,56.7395
0.002308,56.7367
0.002312,56.7339
0.002316,56.731
0.00232,56.7282
0.002324,56.7254
0.002328,56.7226
0.002332,56.7198
0.002336,56.7169
0.00234,56.7141
0.002344,56.7113
0.002348,56.7085
0.002352,56.7057
0.002356,56.7028
0.00236,56.7
0.002364,56.6972
0.002368,56.6944
0.002372,56.6916
0.002376,56.6888
0.00238,56.6859
0.002384,56.6831
0.002388,56.6803
0.002392,56.6775
0.002396,56.6747
0.0024,56.6719
0.002404,56.6691
0.002408,56.6663
0.002412,56.6634
0.002416,56.6606
0.00242,56.6578
0.002424,56.655
0.002428,56.6522
0.002432,56.6494
0.002436,56.6466
0.00244,56.6438
0.002444,56.641
0.002448,56.6382
0.002452,56.6353
0.002456,56.6325
0.00246,56.6297
0.002464,56.6269
0.002468,56.6241
0.002472,56.6213
0.002476,56.6185
0.00248,56.6157
0.002484,56.6129
0.002488,56.6101
0.002492,56.6073
0.002496,56.6045
0.0025,56.6017
0.002504,56.5989
0.002508,56.5961
0.002512,56.5933
0.002516,56.5905
0.00252,56.5877
0.002524,56.5849
0.002528,56.5821
0.002532,56.5793
0.002536,56.5765
0.00254,56.5737
0.002544,56.5709
0.002548,56.5681
0.002552,56.5653
0.002556,56.5625
0.00256,56.5597
0.002564,56.5569
0.002568,56.5541
0.002572,56.5513
0.002576,56.5485
0.00258,56.5457
0.002584,56.5429
0.002588,56.5401
0.002592,56.5373
0.002596,56.5345
0.0026,56.5317
0.002604,56.5289
0.002608,56.5261
0.002612,56.5233
0.002616,56.5206
0.00262,56.5178
0.002624,56.515
0.002628,56.5122
0.002632,56.5094
0.002636,56.5066
0.00264,56.5038
0.002644,56.501
0.002648,56.4982
0.002652,56.4954
0.002656,56.4927
0.00266,56.4899
0.002664,56.4871
0.002668,56.4843
0.002672,56.4815
0.002676,56.4787
0.00268,56.4759
0.002684,56.4731
0.002688,56.4704
0.002692,56.4676
0.002696,56.4648
0.0027,56.462
0.002704,56.4592
0.002708,56.4564
0.002712,56.4537
0.002716,56.4509
0.00272,56.4481
0.002724,56.4453
0.002728,56.4425
0.002732,56.4398
0.002736,56.437
0.00274,56.4342
0.002744,56.4314
0.002748,56.4286
0.002752,56.4259
0.002756,56.4231
0.00276,56.4203
0.002764,56.4175
0.002768,56.4147
0.002772,56.412
0.002776,56.4092
0.00278,56.4064
0.002784,56.4036
0.002788,56.4009
0.002792,56.3981
0.002796,56.3953
0.0028,56.3925
0.002804,56.3898
0.002808,56.387
0.002812,56.3842
0.002816,56.3814
0.00282,56.3787
0.002824,56.3759
0.002828,56.3731
0.002832,56.3704
0.002836,56.3676
0.00284,56.3648
0.002844,56.362
0.002848,56.3593
0.002852,56.3565
0.002856,56.3537
0.00286,56.351
0.002864,56.3482
0.002868,56.3454
0.002872,56.3427
0.002876,56.3399
0.00288,56.3371
0.002884,56.3344
0.002888,56.3316
0.002892,56.3288
0.002896,56.3261
0.0029,56.3233
0.002904,56.3205
0.002908,56.3178
0.002912,56.315
0.002916,56.3122
0.00292,56.3095
0.002924,56.3067
0.002928,56.304
0.002932,56.3012
0.002936,56.2984
0.00294,56.2957
0.002944,56.2929
0.002948,56.2901
0.002952,56.2874
0.002956,56.2846
0.00296,56.2819
0.002964,56.2791
0.002968,56.2764
0.002972,56.2736
0.002976,56.2708
0.00298,56.2681
0.002984,56.2653
0.002988,56.2626
0.002992,56.2598
0.002996,56.2571
0.003,56.2543
0.003004,56.2515
0.003008,56.2488
0.003012,56.246
0.003016,56.2433
0.00302,56.2405
0.003024,56.2378
0.003028,56.235
0.003032,56.2323
0.003036,56.2295
0.00304,56.2268
0.003044,56.224
0.003048,56.2213
0.003052,56.2185
0.003056,56.2158
0.00306,56.213
0.003064,56.2103
0.003068,56.2075
0.003072,56.2048
0.003076,56.202
0.00308,56.1993
0.003084,56.1965
0.003088,56.1938
0.003092,56.191
0.003096,56.1883
0.0031,56.1855
0.003104,56.1828
0.003108,56.1801
0.003112,56.1773
0.003116,56.1746
0.00312,56.1718
0.003124,56.1691
0.003128,56.1663
0.003132,56.1636
0.003136,56.1609
0.00314,56.1581
0.003144,56.1554
0.003148,56.1526
0.003152,56.1499
0.003156,56.1471
0.00316,56.1444
0.003164,56.1417
0.003168,56.1389
0.003172,56.1362
0.003176,56.1334
0.00318,56.1307
0.003184,56.128
0.003188,56.1252
0.003192,56.1225
0.003196,56.1198
0.0032,56.117
0.003204,56.1143
0.003208,56.1116
0.003212,56.1088
0.003216,56.1061
0.00322,56.1034
0.003224,56.1006
0.003228,56.0979
0.003232,56.0952
0.003236,56.0924
0.00324,56.0897
0.003244,56.087
0.003248,56.0842
0.003252,56.0815
0.003256,56.0788
0.00326,56.076
0.003264,56.0733
0.003268,56.0706
0.003272,56.0678
0.003276,56.0651
0.00328,56.0624
0.003284,56.0597
0.003288,56.0569
0.003292,56.0542
0.003296,56.0515
0.0033,56.0487
0.003304,56.046
0.003308,56.0433
0.003312,56.0406
0.003316,56.0378
0.00332,56.0351
0.003324,56.0324
0.003328,56.0297
0.003332,56.0269
0.003336,56.0242
0.00334,56.0215
0.003344,56.0188
0.003348,56.0161
0.003352,56.0133
0.003356,56.0106
0.00336,56.0079
0.003364,56.0052
0.003368,56.0025
0.003372,55.9997
0.003376,55.997
0.00338,55.9943
0.003384,55.9916
0.003388,55.9889
0.003392,55.9861
0.003396,55.9834
0.0034,55.9807
0.003404,55.978
